iter	Passed	Remaining
0	1	111
1	2	109
2	3	108
3	4	101
4	5	102
5	6	101
6	7	101
7	8	100
8	9	99
9	10	98
10	12	97
11	13	96
12	14	94
13	15	94
14	16	92
15	17	91
16	18	90
17	19	89
18	20	88
19	22	88
20	23	87
21	24	86
22	25	85
23	26	84
24	27	83
25	28	82
26	30	81
27	31	80
28	32	79
29	33	78
30	34	77
31	35	75
32	36	75
33	38	73
34	39	72
35	40	71
36	41	70
37	42	69
38	43	67
39	44	66
40	45	65
41	45	63
42	46	62
43	48	61
44	49	60
45	50	59
46	51	58
47	52	57
48	53	55
49	54	54
50	55	53
51	57	52
52	58	51
53	59	50
54	60	49
55	61	48
56	62	47
57	63	45
58	64	44
59	65	43
60	66	42
61	68	41
62	69	40
63	70	39
64	71	38
65	72	37
66	73	36
67	75	35
68	76	34
69	77	33
70	78	32
71	79	30
72	80	29
73	81	28
74	83	27
75	84	26
76	85	25
77	86	24
78	87	23
79	88	22
80	90	21
81	91	20
82	92	18
83	93	17
84	94	16
85	95	15
86	96	14
87	97	13
88	99	12
89	100	11
90	101	10
91	102	8
92	103	7
93	104	6
94	105	5
95	106	4
96	108	3
97	109	2
98	110	1
99	111	0
