iter	Passed	Remaining
0	153	153613
1	154	77181
2	155	51693
3	156	38902
4	156	31213
5	157	26095
6	158	22431
7	158	19688
8	159	17559
9	160	15849
10	160	14454
11	161	13292
12	162	12306
13	162	11464
14	163	10733
15	164	10090
16	164	9521
17	165	9017
18	165	8567
19	166	8164
20	167	7798
21	167	7463
22	168	7160
23	169	6879
24	169	6621
25	170	6383
26	171	6162
27	171	5960
28	172	5770
29	172	5593
30	173	5427
31	174	5270
32	174	5123
33	175	4986
34	176	4856
35	176	4733
36	177	4616
37	178	4506
38	178	4402
39	179	4305
40	180	4212
41	180	4123
42	181	4038
43	182	3957
44	182	3878
45	183	3803
46	183	3730
47	184	3661
48	185	3596
49	185	3533
50	186	3472
51	187	3413
52	187	3356
53	188	3302
54	189	3249
55	189	3198
56	190	3150
57	191	3103
58	191	3057
59	192	3012
60	192	2969
61	193	2928
62	194	2888
63	194	2849
64	195	2812
65	196	2776
66	196	2741
67	197	2706
68	198	2673
69	198	2640
70	199	2608
71	200	2577
72	200	2547
73	201	2518
74	201	2489
75	202	2462
76	203	2434
77	203	2408
78	204	2382
79	204	2357
80	205	2332
81	206	2308
82	206	2282
83	207	2259
84	207	2236
85	208	2214
86	208	2192
87	209	2172
88	210	2152
89	211	2133
90	211	2114
91	212	2095
92	212	2077
93	213	2058
94	214	2041
95	214	2023
96	215	2006
97	216	1989
98	216	1972
99	217	1956
100	217	1940
101	218	1924
102	219	1909
103	219	1893
104	220	1878
105	221	1864
106	221	1850
107	222	1836
108	222	1822
109	223	1808
110	224	1795
111	224	1783
112	225	1771
113	226	1759
114	227	1748
115	227	1736
116	228	1724
117	229	1713
118	229	1702
119	230	1691
120	231	1679
121	231	1667
122	232	1656
123	232	1645
124	233	1635
125	234	1624
126	234	1614
127	235	1603
128	236	1594
129	236	1584
130	237	1574
131	238	1565
132	238	1555
133	239	1546
134	240	1538
135	240	1530
136	241	1521
137	242	1513
138	242	1505
139	243	1497
140	244	1489
141	245	1480
142	245	1473
143	246	1464
144	247	1456
145	247	1448
146	248	1441
147	248	1433
148	249	1425
149	250	1418
150	250	1410
151	251	1403
152	252	1395
153	252	1388
154	253	1381
155	254	1374
156	254	1367
157	255	1361
158	256	1354
159	256	1348
160	257	1340
161	257	1334
162	258	1327
163	259	1321
164	259	1314
165	260	1308
166	261	1302
167	261	1295
168	262	1289
169	262	1283
170	263	1277
171	264	1271
172	264	1265
173	265	1260
174	266	1254
175	266	1248
176	267	1242
177	267	1237
178	268	1231
179	269	1226
180	270	1222
181	270	1217
182	271	1212
183	272	1207
184	272	1202
185	273	1196
186	274	1191
187	274	1186
188	275	1182
189	276	1177
190	276	1172
191	277	1168
192	278	1164
193	279	1159
194	279	1154
195	280	1150
196	281	1145
197	281	1141
198	282	1137
199	283	1133
200	284	1129
201	284	1125
202	285	1121
203	286	1117
204	287	1113
205	287	1109
206	288	1105
207	289	1101
208	289	1097
209	290	1092
210	291	1088
211	291	1084
212	292	1081
213	293	1077
214	294	1073
215	294	1069
216	295	1066
217	296	1062
218	296	1058
219	297	1055
220	298	1051
221	299	1047
222	299	1044
223	300	1041
224	301	1037
225	301	1034
226	302	1030
227	303	1026
228	303	1023
229	304	1020
230	305	1016
231	306	1013
232	306	1009
233	307	1006
234	308	1003
235	308	999
236	309	996
237	310	992
238	310	989
239	311	986
240	312	983
241	312	980
242	313	976
243	314	974
244	315	971
245	316	968
246	316	965
247	317	962
248	318	960
249	319	957
250	319	954
251	320	951
252	321	948
253	321	945
254	322	942
255	323	939
256	323	936
257	324	933
258	325	930
259	326	928
260	326	925
261	327	922
262	328	919
263	329	917
264	329	914
265	330	912
266	331	909
267	332	907
268	332	904
269	333	902
270	334	899
271	335	897
272	336	894
273	336	892
274	337	889
275	338	886
276	338	884
277	339	881
278	340	878
279	340	876
280	341	873
281	342	871
282	342	868
283	343	866
284	344	863
285	345	861
